Timestamp,Employee or entrepreneur,Have you switched from employment to entrepreneurship or vice versa after 1.10.2023?,Age,Gender,Relevant work experience from the industry (in years),Education,Change in income from last year (in %),How many years have you worked as an entrepreneur in this industry?,What services do you offer?,"Hourly rate (VAT 0%, in euros)","Yearly billing (VAT 0%, in euros)",Do you use agencies or find your clients yourself?,Where are your clients from?,Company,In which city is your office?,What kind of a company you work in?,Full time / part time,How much of your work time you spend in company office? (in %),Role / title,"Monthly salary (gross, in EUR)","Yearly income (incl. bonuses, etc; in EUR)",Free description of your compensation model,Is your salary competitive?,What was left unasked that you want to answer to?,Feedback of the survey
07/10/2024 12:42:34,Employee,No,36-40,Male,16.0,Masters degree,0.0,,,,,,,,"Capital region (Helsinki, Espoo, Vantaa)",Consulting,100.0,0.0,Lead software developer,8400.0,0.0,Based on hours working for client,No,,
07/10/2024 12:47:37,Employee,No,31-35,Male,8.0,"MSc, Applied Mathematics",2.0,,,,,,,,Turku,A company where software is support role (for example banks or healthcare),100.0,70.0,C++/CUDA algorithm engineer,5300.0,75000.0,,Maybe,,
07/10/2024 21:12:16,Entrepreneur,,26-30,,7.0,,,,,70.0,,Agencies,Finland,,,,,,,,,,,,
10/10/2024 18:07:34,Entrepreneur,No,31-35,M,10.0,DI,-6.0,3.0,"backend, frontend, full-stack,devops,architecture",90.0,109000.0,Agencies,Finland,,,,,,,,,,,,
11/10/2024 12:33:36,Entrepreneur,No,46-50,Male,25.0,cs@university (not completed),0.0,13.0,Web development,95.0,165000.0,Consulting companies that I know / know me,"Finland, Abroad",,,,,,,,,,,,
11/10/2024 12:40:34,Employee,No,31-35,Male,9.0,Masters in Computer Application,4.0,,,,,,,,"Capital region (Helsinki, Espoo, Vantaa)",Consulting,100.0,10.0,,5080.0,62000.0,,No,,enable option to select both employee and entrepreneur because some might be doing both and one form might not be enough to justify both answers
11/10/2024 12:41:14,Employee,No,36-40,male,11.0,MSc ,,,,,,,,,"Capital region (Helsinki, Espoo, Vantaa)",Product company with software as their core business,100.0,0.0,senior software developer,6000.0,72000.0,,Yes,,
11/10/2024 12:44:07,Employee,No,46-50,male,23.0,Bachelor's degree,0.0,,,,,,,,"Capital region (Helsinki, Espoo, Vantaa)",Consulting,100.0,95.0,Senior Developer,6400.0,76800.0,,Yes,,
11/10/2024 12:47:14,Entrepreneur,No,31-35,M,6.0,AMK insinööri,0.0,2.0,"Software development: full-stack, cloud, mobile",92.0,86000.0,Agencies,Finland,,,,,,,,,,,,Paid holiday or other benefits could be asked
11/10/2024 12:47:37,Employee,No,26-30,Male,7.0,Master's degree,15.0,,,,,,,Unity Technologies Finland Oy,"Capital region (Helsinki, Espoo, Vantaa)",Product company with software as their core business,100.0,80.0,Senior Software Developer ,6100.0,100000.0,Base + RSU,Yes,,Great job with the survey 
11/10/2024 12:55:38,Employee,No,26-30,Male,3.0,BBA BIT,5.0,,,,,,,Solita Oy,"Capital region (Helsinki, Espoo, Vantaa)",Consulting,100.0,10.0,Mobile Developer,4000.0,52000.0,,IDK,,
11/10/2024 13:00:50,Employee,No,31-35,Male,4.0,MSc Computer Science,20.0,,,,,,,,"Capital region (Helsinki, Espoo, Vantaa)",Product company with software as their core business,100.0,80.0,Software Developer (full-stack),5500.0,70.0,,Yes,,
11/10/2024 13:08:43,Employee,No,41-45,Male,15.0,B.Sc. (Computer Science),20.0,,,,,,,,"Capital region (Helsinki, Espoo, Vantaa)",Consulting,100.0,2.0,Software developer,6500.0,78000.0,,Yes,,
11/10/2024 13:20:55,Employee,No,26-30,Female,8.0,Master's,6.8,,,,,,,Elisa,"Capital region (Helsinki, Espoo, Vantaa)",Product company with software as their core business,100.0,20.0,Data Scientist,5074.0,60888.0,,No,,
11/10/2024 13:27:06,Employee,,21-25,Male,2.5,Bachelor of Science (Technology),2.5,,,,,,,Solita Oy,Tampere,Consulting,100.0,0.0,Software Designer,3200.0,38400.0,,No,,
11/10/2024 13:30:52,Employee,No,31-35,male,17.0,"Specialist degree (5y, similar to master degree)",2.0,,,,,,,Smartly.io,"Capital region (Helsinki, Espoo, Vantaa)",Product company with software as their core business,100.0,40.0,Senior Software Engineer,6630.0,93000.0,salary + bi-yearly bonuses + referral bonus (4000),Yes,,
11/10/2024 14:27:01,Employee,No,36-40,Male,11.0,M.Sc in Computer Science,0.0,,,,,,,,Turku,Product company with software as their core business,100.0,20.0,Full stack web developer,5500.0,69000.0,,Yes,,A question regarding options programs and ownership in the company would be good to ask about.
11/10/2024 15:14:21,Employee,No,26-30,Male,5.0,PhD,2.5,,,,,,,,"Capital region (Helsinki, Espoo, Vantaa)",Product company with software as their core business,100.0,1.0,ML developer,4300.0,52000.0,,No,,
11/10/2024 15:26:45,Employee,No,26-30,Female,9.0,Bachelor of Linguistics,5.0,,,,,,,,Berlin,Product company with software as their core business,100.0,1.0,Full-stack Engineer,6500.0,75000.0,,Yes,,
11/10/2024 15:32:48,Employee,No,31-35,Male,12.0,BSc Computer Science,3.0,,,,,,,,"Turku/remote (HQ Austin, TX)",Product company with software as their core business,100.0,0.0,Senior Software Engineer (Backend),12000.0,147000.0,Internet/phone allowance + fringe benefit,Yes,,
11/10/2024 15:46:58,Employee,No,31-35,woman,2.0,"Master of Arts in Linguistics, AW Academy in 2022",50.0,,,,,,,,"Capital region (Helsinki, Espoo, Vantaa)",A company where software is support role (for example banks or healthcare),100.0,50.0,Full-stack Java developer,4800.0,65000.0,Base salary €4500 + €700 of on-call compensation every two months or so. Annual bonus is approx. one month's base salary.,Yes,The reason my salary increased by 50% is because I was able to leave Academic Work and was hired directly by the company I was earlier working for as a consultant.,
11/10/2024 15:56:20,Employee,No,31-35,Male,8.0,"BSc, MSc",15.0,,,,,,,Reaktor,"Capital region (Helsinki, Espoo, Vantaa)",Consulting,100.0,85.0,Senior Fullstack Engineer,5000.0,65000.0,,"Better than old job at product house, but I still feel below median",,
11/10/2024 16:29:46,Employee,No,31-35,Female,3.0,Secondary chool,6.0,,,,,,,,Tampere,Consulting,100.0,20.0,cloud engineer,4450.0,53400.0,,Yes,,
11/10/2024 17:26:42,Employee,No,51-55,Male,25.0,"Bachelor degree in computer science (university of catalonia, barcelona)",5.0,,,,,,,Reaktor,"Capital region (Helsinki, Espoo, Vantaa)",Consulting,100.0,20.0,Hands-on software architect,6400.0,82000.0,,Yes,,
11/10/2024 17:59:28,Employee,No,41-45,Male,19.0,Bachelors,5.0,,,,,,,Mavericks,"Capital region (Helsinki, Espoo, Vantaa)",Consulting,115.0,20.0,Senior Software Developer ,8200.0,100000.0,"50.7% of hourly, top of the line health coverage, stock options",No,"High pay, no culture.",
13/10/2024 14:58:52,Employee,No,36-40,Male,9.0,Bachelor in CS,7.0,,,,,,,,Oulu,Product company with software as their core business,100.0,0.0,Software Designer,4900.0,61000.0,,Yes,,
