Timestamp,Oletko palkansaaja vai laskuttaja?,Oletko siirtynyt palkansaajasta laskuttajaksi tai päinvastoin 1.10.2023 jälkeen?,Ikä,Sukupuoli,Työkokemus alalta (vuosina),Koulutustaustasi,Tulojen muutos viime vuodesta (%),Montako vuotta olet tehnyt laskuttavaa työtä alalla?,Mitä palveluja tarjoat?,"Tuntilaskutus (ALV 0%, euroina)","Vuosilaskutus (ALV 0%, euroina)",Hankitko asiakkaasi itse suoraan vai käytätkö välitysfirmojen palveluita?,Mistä asiakkaat ovat?,Työpaikka,Missä kaupungissa työpaikkasi pääasiallinen toimisto sijaitsee?,Millaisessa yrityksessä työskentelet?,Työaika,Kuinka suuren osan ajasta teet lähityönä toimistolla?,Rooli / titteli,"Kuukausipalkka (brutto, euroina)","Vuositulot (sis. bonukset, osingot yms, euroina)",Vapaa kuvaus kokonaiskompensaatiomallista,Onko palkkasi nykyroolissasi mielestäsi kilpailukykyinen?,Vapaa sana,Palautetta kyselystä ja ideoita ensi vuoden kyselyyn
07/10/2024 10:04:36,Palkansaaja,En,46-50,mies,27.0,ylioppilas,3.0,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)",Konsulttitalossa,100.0,80.0,Senior Fullstack Developer,7250.0,96000.0,Palkka + Bonus + Osingot,Kyllä,,
07/10/2024 10:05:39,Palkansaaja,En,46-50,,25.0,,3.0,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)","Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",37.5,50.0,,8750.0,110000.0,Palkka + vuosibonus,Kyllä,,
07/10/2024 10:06:12,Palkansaaja,En,31-35,mies,11.0,tietotekniikan kandidaatti,2.0,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)","Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",100.0,10.0,Site Reliability Engineer,5100.0,65200.0,,Kyllä,,
07/10/2024 10:07:01,Palkansaaja,En,36-40,Mies,12.0,Ylioppilas,0.0,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)",Konsulttitalossa,100.0,5.0,Fullstack developer ,5850.0,105000.0,Palkka+osinko,Kyllä,,
07/10/2024 10:07:20,Palkansaaja,En,41-45,mies,15.0,DI,,,,,,,,,Tampere,"Tuotetalossa, jonka core-bisnes on softa",100.0,30.0,Lead,6800.0,81600.0,Rahapalkka,Kyllä,,
07/10/2024 10:07:35,Palkansaaja,En,41-45,nainen,9.0,IT-tradenomi,0.0,,,,,,,,Helsinki & Tampere,"Tuotetalossa, jonka core-bisnes on softa",100.0,20.0,"Software developer, fullstack Clojure/script",4730.0,61500.0,,Kyllä,,
07/10/2024 10:07:54,Palkansaaja,En,41-45,m,14.0,,-5.0,,,,,,,Pieni tuotetalo,"PK-Seutu (Helsinki, Espoo, Vantaa)","Tuotetalossa, jonka core-bisnes on softa",100.0,50.0,Technical project manager,6660.0,83250.0,,Kyllä,,
07/10/2024 10:08:41,Palkansaaja,En,31-35,Mies,13.0,FM (Tietojenkäsittelytiede),0.0,,,,,,,Compile Oy,"PK-Seutu (Helsinki, Espoo, Vantaa)",Konsulttitalossa,100.0,15.0,Software Specialist,7200.0,90000.0,Henkilöstörahasto bonuksille,Siinä ja siinä,,
07/10/2024 10:08:49,Palkansaaja,En,36-40,m,20.0,DI,-100.0,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)","Tuotetalossa, jonka core-bisnes on softa",100.0,100.0,CTO,0.0,0.0,omistaja,Ei,kiitos,
07/10/2024 10:08:55,Palkansaaja,En,36-40,Mies,15.0,Insinööri (AMK),0.0,,,,,,,Exove,"PK-Seutu (Helsinki, Espoo, Vantaa)",Konsulttitalossa,100.0,1.0,Senior Developer,4300.0,,,Ei,,
07/10/2024 10:09:27,Laskuttaja,En,31-35,Mies,10.0,"Lukio, alkaneet tietojenkäsittelytieteen yliopisto-opinnot mutta ei papereita",-20.0,5.0,"Full stack, tech lead, AWS, pilvi, devops",85.0,,"Itse, Käytän välitysfirmoja",Suomesta,,,,,,,,,,,,
07/10/2024 10:09:58,Laskuttaja,En,41-45,Mies,18.0,Tietojenkäsittelytieteen maisteri,9.0,6.0,Full stack ja DevOps.,94.0,200000.0,Käytän välitysfirmoja,Suomesta,,,,,,,,,,,,
07/10/2024 10:10:36,Palkansaaja,En,46-50,Nainen,5.0,YTT,3.0,,,,,,,Futurice Oy,Tampere,Konsulttitalossa,100.0,10.0,Software developer,3923.0,41680.0,,Ei,,
07/10/2024 10:10:49,Palkansaaja,En,26-30,Mies,4.0,Tekniikan maisteritutkinto,8.5,,,,,,,Knowit,"PK-Seutu (Helsinki, Espoo, Vantaa)",Konsulttitalossa,100.0,90.0,Test Automation Engineer,4523.0,59500.0,Palkka + edut (Edenred) suunnilleen,Varmaan saman kuin muut sisäisesti mutta vaihtamalla voisi parantua,,"Hyvä kysely, mukava pingi"
07/10/2024 10:11:17,Palkansaaja,En,31-35,mies,5.0,Diplomi-insinööri,6.0,,,,,,,Solita,Jyväskylä,Konsulttitalossa,100.0,75.0,Data engineer,4550.0,59000.0,,Kyllä,,
07/10/2024 10:12:38,Palkansaaja,En,41-45,Mies,20.0,Luonnontieteiden Kandidaatti,1.0,,,,,,,SOK,"PK-Seutu (Helsinki, Espoo, Vantaa)","Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",100.0,80.0,Payment Backend Developer,7400.0,100000.0,Kk-palkkaan sidottu bonus,Kyllä,,
07/10/2024 10:13:20,Palkansaaja,En,36-40,Mies,14.0,AMK software developer,10.0,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)","Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",100.0,40.0,Senior software developer,4950.0,63000.0,Kannustepalkkio,"Perhe tulee toimeen, en tiedä mitä muut saavat enkä ole erityisen kiinnostunut",,Olisi mukavaa lukea millaisia etuuksia rahan lisäksi työntekijät nauttivat
07/10/2024 10:13:39,Palkansaaja,En,41-45,Mies,18.0,AMK insinööri,2.0,,,,,,,,Oulu,"Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",80.0,0.0,Full stack,5100.0,60000.0,,Kyllä,,
07/10/2024 10:13:45,Palkansaaja,En,36-40,meis,14.0,FM,0.0,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)",Konsulttitalossa,37.5,20.0,Software developer,6600.0,97375.0,"Palkka, bonus",Kyllä,,
07/10/2024 10:14:59,Palkansaaja,En,36-40,Mies,11.0,Tietojenkäsittelytiede,3.0,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)","Tuotetalossa, jonka core-bisnes on softa",100.0,5.0,Senior ML Engineer,6400.0,80000.0,Lähinnä palkka,Kyllä,,
07/10/2024 10:15:21,Laskuttaja,En,15-20,Mies,5.0,Peruskoulu,,3.0,"Ohjelmistokehitys, DevOps, Cloud",75.0,,"Itse, Käytän välitysfirmoja","Suomesta, Ulkomailta",,,,,,,,,,,,
